Area,Price
1320,1995000
1850,1438000
1112,1525000
1000,900000
2083,920000
1275,905000
1214,1003000
1303,1180000
1300,990000
1941,1275000
980,1295000
1310,1725000
1054,1275000
750,770000
1500,1760000
1000,750000
1290,850000
1685,981000
1078,1250000
2750,3900000
6800,17100000
1150,1025000
1466,1500000
744,599000
781,835000
928,1149000
1764,2300000
1075,975000
1960,2377500
1275,700000
2236,1500000
1880,1830000
1050,928000
888,960000
2960,2674000
1743,1610000
1070,1000000
1406,1335000
2327,1700000
554,1060000
1237,1204000
2075,2375000
800,800000
1102,900000
1216,905000
688,815000
1165,975000
1360,720000
1750,765000
1655,828000
1771,975000
1675,2400000
1162,1020000
1436,1030000
1216,1509000
1250,1575000
1800,1750000
1130,892000
1325,1220000
1647,2500000
1475,1300000
3453,2385000
950,1150000
1550,1555000
670,515000
1063,488000
1550,975000
848,1700000
650,690000
1675,1083500
2400,1625000
1887,1667500
2350,860000
1161,1950000
1662,1250000
925,570000
2256,1650000
2281,1290000
2666,2021500
1212,575000
1218,1230000
1554,1220000
1108,1300000
1616,2900000
1305,1150000
839,640000
1519,1475000
1712,2650000
6200,4970000
1275,780000
1963,1800000
1213,1192500
1047,875000
809,1425000
1115,1250000
1019,1300000
1488,1475000
917,1210000
789,860000
925,1775000
1806,2000000
2160,3650000
1508,1250000
1254,1575000
1482,868000
1056,850000
1235,1450000
1162,700000
552,720000
924,770000
966,1230000
897,853000
1328,1500000
1362,1535000
2134,1150000
2781,4100000
1236,1280000
1253,950000
1152,1665000
1430,375000
875,705000
1235,1680000
6625,5530000
2040,5600000
1405,1875000
967,659000
1990,1380000
3027,2105000
830,685000
824,908000
968,985000
783,845000
1075,950000
1083,1110000
950,1095000
1118,1190000
1192,1375000
1280,718000
1173,2250000
1140,5700000
828,1271500
1386,1461500
1463,1675000
2442,4150000
1629,665000
2730,1450000
1700,2050000
931,1125000
2110,2257000
4451,2350000
1412,1850000
2146,1300000
3408,1600000
962,950000
1868,1650000
1260,1175000
1655,1700000
1930,2750000
1399,1400000
1925,950000
1200,1200000
1267,2070000
781,495000
878,610000
634,710000
800,760000
1170,830000
1095,1551000
1266,1400000
1798,1475000
2250,522000
2253,800000
4960,9950000
2228,1055000
2230,1250000
3766,2750000
2244,4250000
1060,1010000
836,450000
1247,1351000
668,625000
4000,8125000
1592,1135000
1943,1950000
2082,2410000
1199,1200000
2150,5410000
950,910000
2251,2682000
887,720000
1339,750000
1238,1675000
700,749000
958,870000
793,895000
1462,1000000
778,850000
1000,1227000
1737,1500000
1575,1637500
1200,1215000
1027,981000
1720,1388000
1764,1800000
992,3295000
6726,4100000
1160,1225000
1670,2200000
1856,2800000
2628,3300000
1047,1205000
936,830000
1050,775000
1011,1310000
1412,1810000
791,540000
665,975000
1300,1680000
825,1800000
1129,1125000
1162,950000
1181,1008000
1194,1250000
3345,2350000
1054,1200000
1486,1024000
1274,1400000
832,778000
670,799000
1085,1140000
1476,1400000
745,325000
1553,1250000
1490,1510000
1261,1540000
2958,1550000
1250,1650000
1844,1900000
1375,575000
1350,920000
1119,960000
1125,1075000
1214,1150000
1455,1787500
496,435000
2250,2600000
832,777000
1055,950000
2225,1111000
2075,1188000
581,825000
800,1075000
1431,1300000
956,725000
837,850000
1255,1410000
915,991000
970,1100000
1390,1398000
1755,1510000
1816,1613000
875,690000
2270,2200000
3704,6800000
1147,1100000
1050,1050000
2131,1635000
1025,1100000
821,670000
2916,1650000
1536,880000
1319,1325000
1800,1400000
1770,1200000
2560,2500000
691,845000
1427,1120000
0,1280000
1200,1105000
1150,1045000
1450,1200000
1730,2500000
1175,595000
1897,1208000
1310,1350000
3325,3250000
1062,2250000
2460,3800000
690,347500
1173,1225000
1400,1050000
1009,950000
5303,8001000
1340,1270000
1295,1300000
594,466000
453,640000
1520,1850000
1070,1250000
3528,3500000
1350,1010000
1371,1110000
2385,1500000
1415,1168000
1990,1300000
1162,1020000
1714,2100000
1626,700000
936,1175000
1650,1775000
1263,2325000
1400,1468000
1415,1495000
950,1060000
985,675000
1068,679000
1813,1525000
1096,840000
1047,980000
1070,1301000
1000,1188000
1498,2000000
1660,1250500
1754,1575000
1804,2651000
1757,2327500
1228,810000
1640,1320000
1516,1380000
1049,1175000
975,1250000
556,612000
1116,1300000
1502,1400000
1230,1458000
1006,1250000
875,1150000
1460,1510000
1940,2850000
628,746000
1514,1475000
1336,1150000
875,1140000
1171,2300000
860,620000
938,820000
962,900000
1067,920000
1213,920000
1400,1010000
1707,1148000
1247,1150000
1400,1201000
1487,1240000
1300,1300000
1237,1300000
1764,1375000
1718,1450000
2768,1475000
1456,1600000
1960,1875000
2203,2100000
1875,2180000
1175,2200000
2360,2265000
2707,3750000
3801,5500000
1200,788000
775,825000
2716,1050000
1125,1090000
1075,1105000
1852,1150000
1333,1265000
3024,1895000
1460,2380000
745,540000
541,554000
1021,619000
650,622500
616,725000
1375,765000
1318,775000
1300,800000
963,900000
1200,915000
1485,925000
830,985000
1150,1150000
1103,1220000
781,1230000
1198,1300000
1795,1395000
1190,1400000
1131,1500000
1961,1767500
2062,1825000
2078,2000000
2127,2825000
3100,4200000
4846,6500000
669,581000
1210,690000
539,695000
1151,775000
779,797000
1100,805000
811,845000
928,875000
999,911000
807,935000
1300,1000000
1977,1035000
991,1231000
1348,1410000
1284,1461000
4750,9000000
713,1000000
1033,1074000
1173,1150000
2228,1875000
1320,400000
945,1000000
1710,1550000
6317,2700000
1250,1475000
4380,3500000
2913,1100000
2462,1900000
2777,1975000
1140,1575000
1489,902000
1850,915000
1299,920000
1159,1050000
1150,1495000
1200,1495000
781,1050000
1472,1629000
800,855000
1250,1520000
2150,2350000
862,695000
1153,1150000
1184,1800000
863,745000
1131,1059500
815,815000
900,1050000
833,826000
1075,975000
1287,1200000
1780,1675000
1740,2075000
2234,925000
2594,2410000
1084,1320000
1328,1600500
1107,554000
1980,1510000
1332,940000
800,1170000
1652,1300000
1847,1560000
1510,6995000
2473,950000
1180,1050000
713,875000
824,900000
1370,890000
1200,1250000
1120,1565000
2920,1850000
1562,2200000
1300,1000000
1615,1138000
2919,3600000
4480,1095000
3221,1805000
1655,780000
1175,840000
2075,1615500
1474,800000
1852,1200000
1653,1650000
1315,1350000
750,789000
939,980000
1281,1200000
2300,1600000
1449,1050000
1075,1066000
1555,1590000
1703,1388000
597,888000
1404,975000
1065,1260000
675,625000
1237,1710000
1941,1540000
1190,1210000
1500,1325000
2635,4500000
3000,1075000
998,875000
1448,1400000
710,992000
1302,1400000
1230,1650000
1625,1900000
1769,2455000
2462,2500000
870,1800000
898,1112000
1020,625000
975,701000
1650,850000
3184,4350000
1550,1538000
1140,1061000
1149,1198000
1550,1314000
774,900000
2036,2100000
1360,735000
2722,2010000
756,815000
1688,1085000
1600,1130000
960,745000
1665,838000
1327,900500
1295,2000000
2500,2882000
1755,1250000
2590,1610000
800,888000
2630,670000
2780,1690000
1155,1750000
660,750000
393,640000
1770,1550000
1570,620000
1642,1200000
605,690000
1232,700000
1560,756000
15950,4000000
510,483000
965,1175000
2190,3000000
1585,2000000
1125,941000
1735,1328000
2202,2450000
2748,1450000
1775,703500
1572,1400000
1609,1685000
988,645000
1180,1825000
1440,1155000
1550,2400000
1444,935000
2460,1300000
1970,1090000
682,625000
1380,930000
1099,1348000
1442,1350000
1545,2285000
1833,1300000
2692,1580000
1086,782000
1184,815000
1001,940000
1298,1750000
1500,2500000
930,1400000
1172,638000
1300,751000
1934,779000
767,995000
1000,388500
1125,1068000
1560,1200000
2000,1487500
1630,1055000
2332,1800000
1749,2700000
2360,3400000
1600,800000
1173,925000
1126,1090000
1828,2808000
1471,835000
1870,1015000
1402,1090000
1200,1210000
2080,1075000
846,675000
2795,2080000
794,780000
1753,1200000
2437,760000
678,838000
1200,870000
3320,1225000
710,1225000
563,310000
1095,650000
3375,3200000
1244,1600000
1746,1850000
1696,730000
2262,2635000
730,894000
1575,905000
2300,2100000
1988,1775000
775,775000
1719,2800000
2125,1150000
775,708000
1125,975000
1058,1650000
1850,1700000
